alpha,delta,u,g,r,i,z,class,redshift,plate,MJD
118.663236264366,39.6424291996807,22.85773,22.18874,21.35562,21.26577,20.93935,QSO,1.174289,9357,57807
358.991829744244,32.7490859208678,22.6256,22.02104,22.06787,22.44037,22.17338,STAR,-0.001960059,7751,58081
30.887222067625,1.18870964120799,18.18911,16.89469,16.42161,16.24627,16.18549,STAR,4.085216e-06,7332,56683
118.272262991483,66.1810270406864,17.57887,16.55078,16.21527,16.10371,16.09738,STAR,-0.0001649837,2939,54515
22.848076950098,-4.61196328939292,27.10401,22.65568,21.26362,20.04805,19.61308,GALAXY,0.5238518,7047,56572
123.200526474925,66.8847181573815,19.75471,18.4413,17.90553,17.7269,17.62125,STAR,-6.492747e-05,3286,54910
203.967582607377,45.9293340627609,23.8611,20.71846,20.03971,19.79435,19.58279,STAR,-1.717299e-05,6748,56371
189.510984338851,58.7411197772507,21.37376,20.80187,20.84925,21.13449,20.34689,QSO,0.7936153,6836,56443
151.918090248633,57.3656739870586,21.94298,19.59741,18.11165,17.52896,17.16426,GALAXY,0.2933855,7085,56625
180.243421414208,23.073938641264,23.11455,21.20709,19.44976,18.62194,18.24635,GALAXY,0.4564902,2643,54208
43.8069315288576,-2.88358023626708,22.92552,22.71491,22.44324,20.78204,19.76642,GALAXY,0.8659117,7823,56978
228.553251512263,49.222850124878,25.10019,23.3049,21.41175,20.37682,19.7232,GALAXY,0.7407334,8431,57482
164.142012283491,22.696757733138,22.8226,20.89811,19.48638,18.57454,17.99821,GALAXY,0.5284206,6427,56328
22.9648494083052,0.876034964444952,25.62939,21.3913,19.98634,18.81294,18.13539,STAR,-1.408066e-05,1078,52643
176.268553005359,33.432292927676,21.83964,19.87187,18.8392,18.3688,18.09703,GALAXY,0.1312984,10261,58462
136.816717069559,17.0030774236428,26.61082,22.08935,20.25873,19.20076,18.62303,GALAXY,0.5628381,5297,55913
169.863745026212,27.7983851231628,24.98477,21.998,20.30022,18.3646,17.31518,STAR,7.991327e-05,2216,53795
24.1256712165619,7.71411154678635,23.14042,22.40757,20.6306,19.69073,19.23944,GALAXY,0.5221394,4553,55584
185.745967666872,42.2574568488566,21.15543,20.9155,20.91872,20.78293,20.53747,QSO,1.544197,8383,57518
239.314887282049,15.6514796269616,23.47448,21.23772,20.64201,20.56834,20.45865,STAR,0.0001499548,3922,55333
12.3329131238948,-0.634485140684111,21.56375,21.4095,21.46501,21.23971,20.86722,QSO,1.790955,7871,56902
316.496406375878,1.0288688379375,20.25777,18.18473,17.12617,16.6809,16.3639,GALAXY,0.1181542,985,52431
321.335936043494,-7.98612723080941,20.70336,18.53499,17.43491,16.96153,16.58304,GALAXY,0.1165041,640,52200
234.757331809695,31.3455531948456,19.12679,17.93776,17.42463,17.14761,17.01897,GALAXY,0.05454778,1389,53135
326.985071760989,8.22389430999917,24.58133,23.17917,21.52304,20.12439,19.56942,GALAXY,0.6869109,4092,55477
141.710405631688,14.5396829034081,23.04639,22.00385,20.59193,19.59181,19.10101,GALAXY,0.5457475,5310,55983
133.114252382744,37.0567311500049,24.75384,22.72868,20.87288,19.57037,19.14761,GALAXY,0.6458565,4609,56251
209.421979332915,51.0530042217113,20.5605,18.67909,17.56956,17.1117,16.74978,GALAXY,0.2100051,1670,54553
215.689600276866,27.393531993921,20.26185,18.45844,17.45709,17.03152,16.72991,GALAXY,0.1389539,2130,53881
332.22894249657,23.0526858833019,23.4662,21.76364,20.4713,19.93515,19.58125,GALAXY,0.4191355,7579,56954
5.7110217439788,-6.37631305853789,22.95377,20.92473,20.98164,20.82944,21.03028,QSO,2.52062,7150,56597
193.158567443954,6.33704561861856,18.3132,16.73632,15.91756,15.5174,15.21269,GALAXY,0.08059498,1792,54270
118.060829879163,38.1449840084746,19.75563,18.32907,17.615,17.21822,16.94101,GALAXY,0.08529844,543,52017
247.761943349511,44.6439124581869,22.63792,21.50914,21.49792,21.615,21.28643,STAR,0.0003272693,6030,56097
322.630164710833,3.09523643956902,25.3566,23.24891,21.52091,20.44981,19.79461,GALAXY,0.6139265,11318,58419
216.842674193376,34.3006988347276,20.26575,18.53444,17.45257,16.96719,16.65507,GALAXY,0.1870347,1840,53472
156.435733543967,45.3892605127124,19.37462,18.1566,17.73855,17.49576,17.30305,GALAXY,0.04365304,944,52614
15.7075003133625,-9.98771865589592,19.97889,18.1678,17.17006,16.68867,16.34484,GALAXY,0.1492853,658,52146
168.586277351295,45.1971970267965,21.53928,20.87008,19.84504,19.37735,18.94441,GALAXY,0.3002947,6648,56383
225.757592893701,41.6358224438452,22.13413,21.93489,21.64723,21.4378,20.86196,QSO,2.060514,8522,58193
202.88192305029,32.5098886620712,21.93592,21.0625,20.75845,20.69447,20.88706,STAR,0.0002214283,10257,58526
150.027069695006,38.1722103047216,16.38018,15.22086,14.72885,14.47028,14.24351,GALAXY,0.02314036,1277,52765
238.837844288102,-0.594016590631797,23.10458,21.46466,19.52997,18.76498,18.22832,GALAXY,0.4400397,343,51692
